trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
g_g000734,west,3,2,0,0,0,0,40,여,2;1;2;3;2;4;2;5,45,50130;48840;42150,,,,,
g_g000736,west,3,21,0,0,0,0,40,남,1;1;4;1;1;4;1;1,44,44130;30140;11710,,,,,
g_g000742,west,3,22,0,0,0,0,20,여,6;1;2;2;3;3;3;3,11,50130;26320;45180,,,,,
g_g000743,west,3,10,0,0,0,0,30,남,6;6;2;2;2;5;2;6,41,41130;11680;46130,,,,,
g_g000747,west,3,2,0,0,0,0,40,여,4;1;2;3;2;6;6;1,47,26350;45800;42150,,,,,
g_g000751,west,3,21,0,0,0,0,20,여,3;2;4;2;3;5;5;6,36,50130;42150;26200,,,,,
g_g000756,west,3,27,0,0,0,0,60,남,2;1;2;3;2;2;2;1,41,42150;41670;43110,,,,,
g_g000769,west,3,1,0,0,0,0,30,여,5;3;1;2;2;2;1;6,41,44210;28177;42150,,,,,
g_g000770,west,3,21,0,0,0,0,40,남,4;4;4;4;4;7;1;4,43,44150;42170;43130,,,,,
g_g000773,west,3,11,0,0,0,0,40,남,2;1;4;6;5;4;4;4,11,50110;42210;48220,,,,,
g_g000776,west,3,21,0,0,0,0,20,남,3;3;6;3;2;3;6;5,29,46710;46170;46150,,,,,
g_g000777,west,2,21,0,0,0,0,30,남,4;4;4;4;4;4;4;4,29,29200;29140;46710,,,,,
g_g000779,west,3,21,0,0,0,0,40,여,4;4;4;4;4;4;4;4,29,43110;46110;46130,,,,,
g_g000782,west,2,13,0,0,0,0,30,여,4;7;6;1;5;1;1;1,30,30140;45110;44810,,,,,
g_g000784,west,2,22,0,0,0,0,30,남,1;1;1;1;1;5;3;7,29,46130;26710;41570,,,,,
g_g000785,west,2,1,0,0,0,0,30,여,4;4;1;3;4;5;4;1,29,11680;45130;30200,,,,,
g_g000786,west,3,10,0,0,0,0,50,남,5;2;3;4;2;4;6;2,41,41820;50110;42210,,,,,
g_g000789,west,3,12,0,0,0,0,20,남,1;1;1;1;1;1;2;3,11,50110;42770;42800,,,,,
g_g000794,west,3,2,0,0,0,0,50,여,2;3;6;6;2;5;6;4,43,42150;45730;48220,,,,,
g_g000796,west,2,2,0,0,0,0,30,남,3;6;4;3;3;3;6;4,29,50110;11680;46710,,,,,
g_g000809,west,3,13,0,0,0,0,50,남,3;3;3;3;3;3;3;4,11,42830;41830;44200,,,,,
g_g000812,west,2,25,0,0,0,0,20,남,2;2;2;2;2;2;2;6,43,50110;26710;11110,,,,,
g_g000818,west,3,11,0,0,0,0,30,여,2;2;6;6;6;6;7;6,44,30200;11560;47110,,,,,
g_g000820,west,3,21,0,0,0,0,40,여,6;6;5;4;6;4;5;5,41,42170;42210;42150,,,,,
g_g000826,west,3,11,0,0,0,0,30,여,6;7;1;6;7;2;6;1,36,27290;30200;47130,,,,,
g_g000836,west,3,1,0,0,0,0,20,여,1;1;7;1;1;7;1;7,30,42150;11680;29140,,,,,
g_g000848,west,2,21,0,0,0,0,40,여,1;6;1;4;2;6;1;6,36,43720;43760;43745,,,,,
g_g000861,west,3,2,0,0,0,0,50,남,4;6;5;2;3;5;3;6,11,42150;26350;45110,,,,,
g_g000869,west,3,3,0,0,0,0,20,여,6;2;2;2;2;5;2;6,36,50130;42150;26350,,,,,
g_g000892,west,3,21,0,0,0,0,40,남,5;6;5;3;6;2;2;3,29,46150;48840;46130,,,,,
g_g000902,west,3,21,0,0,0,0,20,여,4;5;6;4;3;5;5;6,11,41390;11110;26350,,,,,
g_g000906,west,3,11,0,0,0,0,50,여,2;2;1;2;3;4;3;6,44,50110;11110;30200,,,,,
g_g000907,west,3,2,0,0,0,0,20,남,2;2;2;2;2;2;2;2,11,42150;50130;46130,,,,,
g_g000910,west,3,12,0,0,0,0,40,남,3;4;2;5;3;3;3;6,41,42150;26350;42230,,,,,
g_g000913,west,3,2,0,0,0,0,40,남,3;3;2;4;4;3;2;6,36,47770;45130;46130,,,,,
g_g000916,west,2,22,0,0,0,0,20,여,4;1;3;4;4;4;6;6,48,50130;42210;42150,,,,,
g_g000917,west,2,22,0,0,0,0,30,여,6;7;3;1;2;1;3;6,48,26530;50110;47130,,,,,
g_g000931,west,3,3,0,0,0,0,40,여,2;3;2;4;4;4;2;6,30,11110;50130;26350,,,,,
g_g000938,west,2,2,0,0,0,0,50,여,6;2;2;4;6;6;3;6,47,11680;41460;50110,,,,,
g_g000939,west,3,22,0,0,0,0,30,남,1;1;1;6;5;4;2;5,45,50130;45800;48310,,,,,
g_g000940,west,3,28,0,0,0,0,40,남,2;2;2;1;5;5;3;6,26,26350;47130;50130,,,,,
g_g000945,west,2,22,0,0,0,0,30,남,4;6;2;3;6;6;3;6,29,50130;26350;46130,,,,,
g_g000946,west,2,24,0,0,0,0,60,남,6;3;6;4;5;3;5;4,45,45790;45180;45710,,,,,
g_g000947,west,2,21,0,0,0,0,40,여,1;7;1;2;6;6;6;5,29,50130;26350;11680,,,,,
g_g000950,west,3,1,0,0,0,0,50,여,1;4;4;2;2;4;4;2,26,45110;46730;47130,,,,,
g_g000952,west,3,2,0,0,0,0,30,여,2;4;1;4;6;4;3;6,48,26710;42210;42170,,,,,
g_g000957,west,2,22,0,0,0,0,20,여,6;2;4;2;2;3;2;3,30,11680;46130;45110,,,,,
g_g000958,west,2,13,0,0,0,0,30,남,2;1;4;2;2;4;7;1,11,42210;41650;30200,,,,,
g_g000965,west,3,23,0,0,0,0,40,여,6;1;2;2;2;3;6;6,11,26350;46150;27290,,,,,
g_g000967,west,3,3,0,0,0,0,20,여,2;2;6;2;1;6;2;2,11,42150;26350;42210,,,,,
g_g000974,west,3,10,0,0,0,0,50,여,2;2;3;1;2;2;2;2,28,50130;28710;47110,,,,,
g_g000983,west,3,9,0,0,0,0,60,남,1;1;1;4;1;6;6;4,43,42150;50110;26350,,,,,
g_g000986,west,3,22,0,0,0,0,30,남,7;1;1;3;4;4;6;1,30,26230;11680;11110,,,,,
