trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
f_f000744,east,2,22,0,0,0,0,40,여,1;3;2;4;2;2;3;3,11,50130;50110;42150,,,,,
f_f000746,east,2,9,0,0,0,0,40,남,2;3;2;2;7;4;1;4,31,50130;46130;26350,,,,,
f_f000751,east,3,1,0,0,0,0,40,여,2;1;4;2;2;4;2;4,11,42210;41830;50110,,,,,
f_f000754,east,3,1,0,0,0,0,30,남,2;6;3;4;5;4;3;5,11,42230;42830;41460,,,,,
f_f000760,east,3,22,0,0,0,0,40,남,2;1;1;3;2;2;2;3,11,26350;41110;50110,,,,,
f_f000762,east,3,1,0,0,0,0,50,여,1;3;2;6;1;3;2;6,43,42150;30200;50130,,,,,
f_f000770,east,3,1,0,0,0,0,40,남,2;3;4;3;2;2;5;3,48,26380;31140;45110,,,,,
f_f000773,east,2,25,0,0,0,0,40,여,4;2;2;2;3;5;2;3,47,47130;50130;27260,,,,,
f_f000776,east,3,2,0,0,0,0,20,남,4;2;1;4;4;3;6;5,41,26350;42150;30140,,,,,
f_f000779,east,2,3,0,0,0,0,30,여,4;4;4;2;4;4;6;6,26,50130;47130;11110,,,,,
f_f000783,east,3,2,0,0,0,0,40,여,1;4;1;4;3;1;2;7,11,48840;26710;42830,,,,,
f_f000785,east,3,12,0,0,0,0,30,여,2;2;3;2;3;5;5;6,11,42150;42210;48220,,,,,
f_f000787,east,3,21,0,0,0,0,20,남,5;3;2;5;6;2;1;5,41,50130;42150;42210,,,,,
f_f000788,east,3,13,0,0,0,0,50,남,4;5;2;2;6;4;2;6,41,47130;42760;42230,,,,,
f_f000797,east,3,1,0,0,0,0,30,여,4;2;4;5;6;4;1;7,47,47130;27260;26350,,,,,
f_f000799,east,3,1,0,0,0,0,40,남,6;4;4;3;3;4;3;3,11,28185;30200;41480,,,,,
f_f000801,east,2,4,0,0,0,0,40,여,4;4;5;2;2;3;6;6,28,42150;42210;50130,,,,,
f_f000806,east,3,2,0,0,0,0,30,남,2;1;2;4;2;1;6;7,11,50110;48220;42150,,,,,
f_f000813,east,3,2,0,0,0,0,40,여,2;1;3;1;1;5;5;6,41,50130;26350;42210,,,,,
f_f000816,east,3,1,0,0,0,0,20,여,4;1;1;3;4;5;1;7,47,27110;30200;11440,,,,,
f_f000818,east,3,5,0,0,0,0,30,남,3;1;4;6;4;3;5;7,11,42150;48220;46150,,,,,
f_f000827,east,3,3,0,0,0,0,50,여,1;1;4;1;1;4;2;7,11,26350;41830;42210,,,,,
f_f000828,east,3,21,0,0,0,0,40,여,3;1;1;3;3;4;2;5,26,47110;45730;48310,,,,,
f_f000834,east,3,1,0,0,0,0,40,남,4;1;2;4;2;6;5;6,11,26710;50130;42210,,,,,
f_f000839,east,3,22,0,0,0,0,50,여,2;1;1;2;4;4;1;7,41,50130;48220;47130,,,,,
f_f000842,east,2,2,0,0,0,0,40,여,2;2;1;4;2;3;3;7,26,50130;42230;47930,,,,,
f_f000843,east,3,27,0,0,0,0,60,남,3;1;3;3;2;3;3;4,11,42830;45790;47920,,,,,
f_f000848,east,2,11,0,0,0,0,50,남,4;5;4;2;4;4;4;5,48,27260;48720;26350,,,,,
f_f000849,east,2,22,0,0,0,0,20,여,2;3;4;2;1;4;5;3,11,50110;46130;42150,,,,,
f_f000855,east,3,22,0,0,0,0,60,여,5;6;6;1;1;6;6;2,11,42150;41480;41280,,,,,
f_f000859,east,2,22,0,0,0,0,40,남,4;4;2;1;4;6;7;7,47,26350;42150;50110,,,,,
f_f000873,east,3,22,0,0,0,0,30,여,3;2;3;3;6;3;3;2,11,50130;30200;41360,,,,,
f_f000874,east,3,8,0,0,0,0,20,여,3;3;4;3;5;5;3;6,11,42150;42170;45130,,,,,
f_f000875,east,3,12,0,0,0,0,50,남,5;3;3;3;4;4;2;5,30,26350;11440;46130,,,,,
f_f000876,east,3,27,0,0,0,0,50,여,1;2;2;5;2;2;2;6,11,50130;42170;46910,,,,,
f_f000881,east,3,22,0,0,0,0,30,여,2;2;1;4;4;4;5;6,41,42150;47130;46710,,,,,
f_f000885,east,3,1,0,0,0,0,40,여,6;2;7;1;6;6;3;7,41,46150;11440;50110,,,,,
f_f000893,east,3,1,0,0,0,0,30,남,4;3;3;4;4;5;3;6,11,42150;50130;41830,,,,,
f_f000894,east,3,1,0,0,0,0,20,남,4;3;2;6;6;6;4;6,29,26350;11680;42150,,,,,
f_f000900,east,3,21,0,0,0,0,40,남,1;4;4;1;1;1;3;5,41,42150;41830;50130,,,,,
f_f000904,east,3,25,0,0,0,0,20,여,2;1;3;2;1;2;1;7,30,11680;42170;44825,,,,,
f_f000905,east,3,1,0,0,0,0,20,여,6;2;2;1;2;3;1;4,41,42210;50110;48850,,,,,
f_f000908,east,2,9,0,0,0,0,30,남,6;4;2;6;6;2;2;5,27,47110;47130;27710,,,,,
f_f000913,east,3,1,0,0,0,0,30,남,4;2;2;2;2;3;6;7,41,50130;50110;48220,,,,,
f_f000914,east,3,3,0,0,0,0,40,여,1;3;2;1;2;3;7;4,48,50130;46150;26500,,,,,
f_f000916,east,2,9,0,0,0,0,30,남,2;7;2;4;2;2;4;4,27,47190;47150;47110,,,,,
f_f000918,east,3,21,0,0,0,0,20,여,4;2;5;2;3;3;1;7,11,11440;41360;42110,,,,,
f_f000927,east,3,23,0,0,0,0,40,여,3;4;3;4;5;5;4;4,26,48270;47130;48220,,,,,
f_f000932,east,3,5,0,0,0,0,20,여,1;1;2;6;1;5;7;6,11,26350;42170;42230,,,,,
f_f000936,east,3,21,0,0,0,0,20,여,1;1;4;3;2;2;6;6,27,26350;47130;47110,,,,,
f_f000942,east,3,6,0,0,0,0,20,여,3;3;3;4;4;5;3;5,48,11140;26500;50110,,,,,
f_f000944,east,3,1,0,0,0,0,30,여,4;2;6;2;1;4;2;6,48,27110;26710;50130,,,,,
f_f000945,east,3,10,0,0,0,0,50,남,2;3;5;3;2;2;2;3,11,50130;41830;42720,,,,,
f_f000947,east,3,1,0,0,0,0,50,남,4;4;4;4;4;6;3;3,42,42130;41450;42150,,,,,
f_f000951,east,3,1,0,0,0,0,20,여,3;1;1;6;1;7;7;6,27,50110;11680;26350,,,,,
f_f000953,east,2,22,0,0,0,0,20,남,4;4;4;3;4;4;3;4,31,11590;47820;44200,,,,,
f_f000954,east,2,1,0,0,0,0,20,남,3;3;3;3;3;3;3;3,48,50110;46130;27200,,,,,
f_f000958,east,2,2,0,0,0,0,30,여,4;4;3;2;5;3;4;5,27,26710;47130;27710,,,,,
f_f000960,east,3,21,0,0,0,0,30,남,4;2;2;2;4;6;1;5,41,50110;50130;42150,,,,,
f_f000972,east,3,1,0,0,0,0,40,여,3;2;1;4;5;5;5;7,11,42210;50130;26350,,,,,
f_f000976,east,3,26,0,0,0,0,40,여,3;2;1;2;1;5;4;3,48,50130;47110;48310,,,,,
f_f000995,east,3,1,0,0,0,0,50,남,1;1;1;1;1;1;1;7,45,50110;45750;46130,,,,,
f_f001000,east,3,3,0,0,0,0,30,여,3;1;3;1;5;4;2;5,41,42210;43150;50130,,,,,
f_f001012,east,2,3,0,0,0,0,40,남,4;7;4;1;4;4;5;6,26,48250;48330;47130,,,,,
f_f001013,east,3,8,0,0,0,0,30,여,6;7;6;2;3;6;6;6,48,26530;46150;46130,,,,,
f_f001014,east,3,22,0,0,0,0,40,여,1;1;4;2;1;1;1;7,48,26350;48850;50130,,,,,
f_f001019,east,2,2,0,0,0,0,40,남,6;3;2;4;3;3;2;4,11,26350;27260;31710,,,,,
f_f001024,east,3,12,0,0,0,0,40,여,1;4;1;3;6;4;6;6,11,42150;42210;50110,,,,,
f_f001027,east,2,12,0,0,0,0,60,여,2;4;1;2;2;4;2;6,11,42210;50130;41830,,,,,
f_f001028,east,3,5,0,0,0,0,50,여,4;3;1;2;6;6;1;5,41,41110;26350;50130,,,,,
f_f001043,east,3,1,0,0,0,0,30,여,5;2;2;5;6;4;2;3,41,42150;45110;50110,,,,,
f_f001058,east,3,1,0,0,0,0,30,여,5;2;4;4;6;2;5;5,41,41820;42150;26320,,,,,
